Instruction,Input,Response,Metadata
"Retrieve the latest invoice details for each account, product, start date, and end date combination","WITH last_invoice AS ( SELECT i.id, ROW_NUMBER() OVER ( PARTITION BY b.account_id, b.product, i.start_date, i.end_date ORDER BY i.date_created DESC ) AS rn FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id )","SELECT i.id::int AS id, b.id AS billing_id, b.account_id, i.package_id, p.name AS product, pkg.name AS package_name, i.amount, i.date_created, i.complete_date, i.start_date, i.end_date, i.billing_date, i.status, i.forwarded_to_invoice_id, MAX(i2.id) AS forwarded_from_invoice_id FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id INNER JOIN {{ source('webconnex', 'package') }} AS pkg ON i.package_id = pkg.id LEFT JOIN {{ ref('dim_product') }} AS p ON i.product = p.url LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2 ON i2.forwarded_to_invoice_id = i.id WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1) GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","This is the main query that retrieves the latest invoice details for each account, product, start date, and end date combination."
Retrieve invoices with a specific status,"SELECT i.id::int AS id, b.id AS billing_id, b.account_id, i.package_id, p.name AS product, pkg.name AS package_name, i.amount, i.date_created, i.complete_date, i.start_date, i.end_date, i.billing_date, i.status, i.forwarded_to_invoice_id, MAX(i2.id) AS forwarded_from_invoice_id FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id INNER JOIN {{ source('webconnex', 'package') }} AS pkg ON i.package_id = pkg.id LEFT JOIN {{ ref('dim_product') }} AS p ON i.product = p.url LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2 ON i2.forwarded_to_invoice_id = i.id WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1) AND i.status = 'paid' GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","SELECT i.id::int AS id, b.id AS billing_id, b.account_id, i.package_id, p.name AS product, pkg.name AS package_name, i.amount, i.date_created, i.complete_date, i.start_date, i.end_date, i.billing_date, i.status, i.forwarded_to_invoice_id, MAX(i2.id) AS forwarded_from_invoice_id FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id INNER JOIN {{ source('webconnex', 'package') }} AS pkg ON i.package_id = pkg.id LEFT JOIN {{ ref('dim_product') }} AS p ON i.product = p.url LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2 ON i2.forwarded_to_invoice_id = i.id WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1) AND i.status = 'paid' GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","This query retrieves the latest invoice details for invoices with a specific status (in this case, 'paid')."
Retrieve invoices for a specific account,"SELECT i.id::int AS id, b.id AS billing_id, b.account_id, i.package_id, p.name AS product, pkg.name AS package_name, i.amount, i.date_created, i.complete_date, i.start_date, i.end_date, i.billing_date, i.status, i.forwarded_to_invoice_id, MAX(i2.id) AS forwarded_from_invoice_id FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id INNER JOIN {{ source('webconnex', 'package') }} AS pkg ON i.package_id = pkg.id LEFT JOIN {{ ref('dim_product') }} AS p ON i.product = p.url LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2 ON i2.forwarded_to_invoice_id = i.id WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1) AND b.account_id = 123456 GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14","SELECT i.id::int AS id, b.id AS billing_id, b.account_id, i.package_id, p.name AS product, pkg.name AS package_name, i.amount, i.date_created, i.complete_date, i.start_date, i.end_date, i.billing_date, i.status, i.forwarded_to_invoice_id, MAX(i2.id) AS forwarded_from_invoice_id FROM {{ source('webconnex', 'invoice') }} AS i INNER JOIN {{ ref('dim_billing') }} AS b ON i.billing_id = b.id INNER JOIN {{ source('webconnex', 'package') }} AS pkg ON i.package_id = pkg.id LEFT JOIN {{ ref('dim_product') }} AS p ON i.product = p.url LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2 ON i2.forwarded_to_invoice_id = i.id WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1) AND b.account_id = 123456 GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",This query retrieves the latest invoice details for a specific account (account_id = 123456).
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
"Generate a SQL query to get the most recent invoices per account, product, and billing period.",dim_invoice model,"WITH
last_invoice AS (
  SELECT
  i.id,
  ROW_NUMBER()
  OVER (
  PARTITION BY b.account_id, b.product, i.start_date, i.end_date
  ORDER BY i.date_created DESC
  ) AS rn
  FROM {{ source('webconnex', 'invoice') }} AS i
  INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
)
SELECT
  i.id::int AS id,
  b.id AS billing_id,
  b.account_id,
  i.package_id,
  p.name AS product,
  pkg.name AS package_name,
  i.amount,
  i.date_created,
  i.complete_date,
  i.start_date,
  i.end_date,
  i.billing_date,
  i.status,
  i.forwarded_to_invoice_id,
  MAX(i2.id) AS forwarded_from_invoice_id
FROM {{ source('webconnex', 'invoice') }} AS i
INNER JOIN {{ ref('dim_billing') }} AS b
  ON i.billing_id = b.id
INNER JOIN {{ source('webconnex', 'package') }} AS pkg
  ON i.package_id = pkg.id
LEFT JOIN {{ ref('dim_product') }} AS p
  ON i.product = p.url
LEFT JOIN {{ source('webconnex', 'invoice') }} AS i2
  ON i2.forwarded_to_invoice_id = i.id
WHERE i.id IN (SELECT id FROM last_invoice WHERE rn = 1)
GROUP BY 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;","SQL, dbt, Webconnex"
